name,DT_code
K3a1,DT[cacBCA]
K5a2,DT[eaeCDEAB]
K7a7,DT[gagDEFGABC]
K8n3,DT[hahCHfAgbde]
K9a41,DT[iaiEFGHIABCD]
K10n21,DT[jajCJgAhibdef]
K11a367,DT[kakFGHIJKABCDE]
K12n242,DT[lalCLhAijkbdefg]
K13a4878,DT[mamGHIJKLMABCDEF]
K13n4587,DT[mamDkMgAiceLfbHJ]
K13n4639,DT[mamKeMjaHcDlFgBi]
K14n6022,DT[nanCNiAjklmbdefgh]
K14n21881,DT[nanDFNjAkBlmceghi]
K15a85263,DT[oaoHIJKLMNOABCDEFG]
K15n40211,DT[oaoDOKlAibCeMNgHJf]
K15n41185,DT[oaoDOJkAmbCLNgHeIf]
K15n124802,DT[oaoLmOkaBncDfGheIj]
K16n184868,DT[papCPjAklmnobdefghi]
K16n783154,DT[papDFPkAlBmnoceghij]
17at_1,DT[qaqijklmnopqabcdefgh]
17ns_12,DT[qaqjmGHpBnCEqLOafKdi]
17nh_0000014,DT[qaqemoGqHkDLNPfaIbJc]
17nh_0000019,DT[qaqnPgiAobLcMeFHqJkD]
18nh_00000001,DT[rargkmopqrJLNaHbIcdef]
18nh_00000003,DT[rarhkmnopqrJLaIbcdefg]
19at_1,DT[sasjklmnopqrsabcdefghi]
19ns_044,DT[sasknRijBoqcdsMPafLghE]
19nh_000000003,DT[sasehLqsGJanFopRBikcdM]
